table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Alabama: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Alabama,4447207,4452173,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,4779736,4785298
.Autauga County,43751,44021,44889.0,45909.0,46800.0,48366.0,49676.0,51328.0,52405.0,53277.0,54135.0,54571,54632
.Baldwin County,140416,141342,144875.0,147957.0,151509.0,156266.0,162183.0,168121.0,172404.0,175827.0,179406.0,182265,183195
.Barbour County,29042,29015,28863.0,28653.0,28594.0,28287.0,28027.0,27861.0,27757.0,27808.0,27657.0,27457,27411
.Bibb County,19856,19913,21028.0,21199.0,21399.0,21721.0,22042.0,22099.0,22438.0,22705.0,22941.0,22915,22867
.Blount County,50982,51107,51845.0,52551.0,53457.0,54124.0,54624.0,55485.0,56240.0,57055.0,57341.0,57322,57338
.Bullock County,11603,11581,11358.0,11256.0,11316.0,11056.0,11011.0,10776.0,11011.0,10953.0,10987.0,10914,10890
.Butler County,21394,21325,21139.0,20803.0,20833.0,20870.0,20830.0,20815.0,20894.0,20949.0,20867.0,20947,20951
.Calhoun County,111882,111081,111266.0,111625.0,112705.0,113462.0,114477.0,115388.0,116211.0,117274.0,118363.0,118572,118510
.Chambers County,36600,36571,36274.0,35965.0,35680.0,35463.0,35279.0,34945.0,34847.0,34563.0,34384.0,34215,34157
.Cherokee County,23909,24006,24182.0,24403.0,24591.0,24887.0,25031.0,25466.0,25553.0,25636.0,25854.0,25989,25991
