table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Hawaii: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Hawaii,1211497,1213519,1225948.0,1239613.0,1251154.0,1273569.0,1292729.0,1309731.0,1315675.0,1332213.0,1346717.0,1360301,1363621
.Hawaii County,148641,149244,151690.0,154576.0,158442.0,162852.0,168237.0,173536.0,177733.0,181506.0,183629.0,185079,185406
.Honolulu County,876159,876629,882755.0,890473.0,894311.0,907997.0,918181.0,926954.0,925335.0,933680.0,943177.0,953207,955775
.Kalawao County,147,145,138.0,133.0,127.0,117.0,114.0,109.0,105.0,99.0,93.0,90,90
.Kauai County,58460,58568,59075.0,59981.0,60805.0,62095.0,62863.0,63465.0,64490.0,65603.0,66518.0,67091,67226
.Maui County,128090,128933,132290.0,134450.0,137469.0,140508.0,143334.0,145667.0,148012.0,151325.0,153300.0,154834,155124
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Hawaii: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-15)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
